show,class,place,competitor,gallery_url,photo_file,division_check,auto_color1,auto_color2,auto_method,archetype,archetype_source
2026 NPC Junior Nationals,A,1,Kyle Lavender,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm4/kyle_lavender,jrnats26_A_1_Kyle_Lavender.jpg,pending,black [scored],light blue (0.24),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),color-block panels,human/vision scored (high)
2026 NPC Junior Nationals,A,2,Marcos Quelix,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm6/marcos_quelix,jrnats26_A_2_Marcos_Quelix.jpg,pending,white (0.52),navy (0.23),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,A,3,Jorge Estevez,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm0/jorge_estevez,jrnats26_A_3_Jorge_Estevez.jpg,pending,navy (0.37),white (0.24),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,A,4,Rocco Giannelli,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm2/rocco_giannelli,jrnats26_A_4_Rocco_Giannelli.jpg,pending,white (0.41),light blue (0.23),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,A,5,Justin Greene,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm3/justin_greene,jrnats26_A_5_Justin_Greene.jpg,pending,white (0.36),navy (0.24),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,B,1,Travis Pelser,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojl7/travis_pelser,jrnats26_B_1_Travis_Pelser.jpg,pending,white (0.44),black (0.3),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,B,2,Kwame Poku,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojma/kwame_poku,jrnats26_B_2_Kwame_Poku.jpg,pending,light blue (0.34),navy (0.31),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,B,3,Lucas Francisco daSilva,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojm8/lucas_francisco_dasilva,jrnats26_B_3_Lucas_Francisco_daSilva.jpg,pending,navy (0.32),royal blue (0.28),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,B,4,Orlando Rosales,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojmb/orlando_rosales,jrnats26_B_4_Orlando_Rosales.jpg,pending,navy (0.4),royal blue (0.25),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,B,5,Thomas Somphanthabansouk,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojme/thomas_somphanthabansouk,jrnats26_B_5_Thomas_Somphanthabansouk.jpg,pending,navy (0.46),white (0.22),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,C,1,Sean Fong,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn0/sean_fong,jrnats26_C_1_Sean_Fong.jpg,pending,black [scored],navy (0.26),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),color-block panels,human/vision scored (high)
2026 NPC Junior Nationals,C,2,Justin Dumas,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojmz/justin_dumas,jrnats26_C_2_Justin_Dumas.jpg,pending,navy (0.4),white (0.3),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,C,3,Dakota-Wray Wilkerson,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn5/dakotawray_wilkerson,jrnats26_C_3_Dakota-Wray_Wilkerson.jpg,pending,navy (0.42),white (0.23),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,C,4,Lucas Martini,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn3/lucas_martini,jrnats26_C_4_Lucas_Martini.jpg,pending,royal blue (0.27),navy (0.25),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,C,5,Anderson Moise,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojmw/anderson_moise,jrnats26_C_5_Anderson_Moise.jpg,pending,white (0.52),navy (0.19),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,D,1,Bryan Uth,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnf/bryan_uth,jrnats26_D_1_Bryan_Uth.jpg,pending,lavender/purple [scored],navy (0.28),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),solid + trim,human/vision scored (high)
2026 NPC Junior Nationals,D,2,Cole Sweetser,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnc/cole_sweetser,jrnats26_D_2_Cole_Sweetser.jpg,pending,navy (0.51),white (0.24),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,D,3,Adam Cuellar,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn8/adam_cuellar,jrnats26_D_3_Adam_Cuellar.jpg,pending,white (0.39),navy (0.31),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,D,4,Jordan Carter,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojng/jordan_carter,jrnats26_D_4_Jordan_Carter.jpg,pending,white (0.53),navy (0.2),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,D,5,Gabe Findley,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojn9/gabe_findley,jrnats26_D_5_Gabe_Findley.jpg,pending,light blue (0.38),navy (0.27),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,E,1,Craver King,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojno/craver_king,jrnats26_E_1_Craver_King.jpg,pending,light blue [scored],navy (0.22),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),color-block panels,human/vision scored (high)
2026 NPC Junior Nationals,E,2,Enjley Cineus,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojni/enjley_cineus,jrnats26_E_2_Enjley_Cineus.jpg,pending,white (0.46),light blue (0.19),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,E,3,Ben Emerson,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnm/ben_emerson,jrnats26_E_3_Ben_Emerson.jpg,pending,white (0.27),navy (0.26),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,E,4,Brett Brown,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnk/brett_brown,jrnats26_E_4_Brett_Brown.jpg,pending,brown (0.33),navy (0.25),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
2026 NPC Junior Nationals,E,5,Courtney Ellis,https://contests.npcnewsonline.com/contests/2026/npc_junior_nationals/ojnl/courtney_ellis,jrnats26_E_5_Courtney_Ellis.jpg,pending,white (0.36),navy (0.23),kmeans_v1 (62% family accuracy vs human reads - CALIBRATION NEEDED),,PENDING_REVIEW
