TREND SET 1: DESIGN ARCHETYPES (scored class winners n=29)
archetype,count,share
color-block panels,10,34%
solid + trim,8,28%
energy/element print,8,28%
single large graphic,3,10%

archetype by year (watch: 2026 sample = junior shows only)
year,archetype,count
2025,energy/element print,6
2025,color-block panels,4
2025,solid + trim,4
2025,single large graphic,3
2026,color-block panels,6
2026,solid + trim,4
2026,energy/element print,2

"TREND SET 2: COLOR FAMILIES (base color, scored winners)"
family,count,share
black/charcoal,16,55%
blue family,5,17%
red/orange family,4,14%
pink/magenta,2,7%
purple/lavender,1,3%
green,1,3%

base family + primary accent combos
base family,accent,count
black/charcoal,red,4
black/charcoal,green,2
red/orange family,black,2
red/orange family,white,2
black/charcoal,yellow,2
pink/magenta,black,2
black/charcoal,white,2
black/charcoal,coral-red,1
purple/lavender,white,1
blue family,navy,1
blue family,white,1
blue family,yellow,1

"TOP BRANDS (confirmed IDs only, n=19)"
Chula Wear,7
Manifest,4
Alite Wear,2
Darc Sport,2
Brotherhood Sport Co,1
justsuffer (SUAS),1
FIED,1
Absolute Aesthetics,1
